0.38569,0.17675,-0.35063,0.76514,0.63751,-5.399
0.38222,0.18414,-0.34434,0.71475,0.62044,-4.7061
0.37881,0.19106,-0.33822,0.67057,0.60397,-4.1496
0.37545,0.19757,-0.33226,0.63142,0.58807,-3.6943
0.37216,0.20371,-0.32646,0.59642,0.57273,-3.3158
0.36893,0.20951,-0.3208,0.56491,0.55792,-2.9968
0.36574,0.21501,-0.3153,0.53633,0.54362,-2.7249
0.36262,0.22024,-0.30993,0.51028,0.5298,-2.4907
0.35955,0.22523,-0.3047,0.48642,0.51644,-2.2872
0.35652,0.22998,-0.2996,0.46445,0.50353,-2.1089
0.35355,0.23452,-0.29463,0.44417,0.49105,-1.9516
0.35063,0.23887,-0.28978,0.42536,0.47897,-1.8121
0.34776,0.24303,-0.28505,0.40788,0.46729,-1.6875
0.34493,0.24703,-0.28043,0.39157,0.45599,-1.5757
0.34215,0.25087,-0.27593,0.37633,0.44504,-1.475
0.33941,0.25456,-0.27153,0.36204,0.43445,-1.3838
0.33672,0.25811,-0.26724,0.34862,0.42418,-1.3009
0.33407,0.26153,-0.26304,0.336,0.41424,-1.2254
0.33146,0.26483,-0.25895,0.32409,0.40461,-1.1562
0.32889,0.26802,-0.25495,0.31285,0.39527,-1.0928
0.32636,0.27109,-0.25104,0.30222,0.38622,-1.0344
0.32387,0.27406,-0.24723,0.29215,0.37744,-0.98048
0.32141,0.27694,-0.24349,0.2826,0.36893,-0.93064
0.319,0.27972,-0.23985,0.27353,0.36067,-0.88445
0.31661,0.28241,-0.23628,0.2649,0.35266,-0.84153
0.31427,0.28502,-0.23279,0.25669,0.34488,-0.80158
0.31196,0.28754,-0.22938,0.24886,0.33733,-0.76433
0.30968,0.29,-0.22605,0.24139,0.32999,-0.72952
0.30744,0.29237,-0.22278,0.23426,0.32287,-0.69696
0.30523,0.29468,-0.21959,0.22744,0.31595,-0.66644
0.30305,0.29692,-0.21646,0.22092,0.30923,-0.63779
0.3009,0.2991,-0.2134,0.21468,0.3027,-0.61086
0.29878,0.30122,-0.21041,0.2087,0.29635,-0.58552
0.29669,0.30328,-0.20747,0.20297,0.29017,-0.56164
0.29463,0.30528,-0.2046,0.19746,0.28417,-0.53911
0.2926,0.30723,-0.20179,0.19218,0.27833,-0.51783
0.29059,0.30912,-0.19904,0.1871,0.27265,-0.49771
0.28862,0.31097,-0.19634,0.18222,0.26712,-0.47867
0.28666,0.31277,-0.19369,0.17753,0.26175,-0.46062
